Species,EPU,sex,YEAR,MeanCond,nCond,n
Spiny Dogfish,SS,F,1999,96.38109250764985,62,26
Spiny Dogfish,SS,F,2000,99.92609428296299,46,26
Spiny Dogfish,SS,F,2001,99.17090529005576,85,26
Spiny Dogfish,SS,F,2002,100.98362190693042,84,26
Spiny Dogfish,SS,F,2003,99.49203819443994,21,26
Spiny Dogfish,SS,F,2004,100.12981212274288,23,26
Spiny Dogfish,SS,F,2005,98.3831366728062,20,26
Spiny Dogfish,SS,F,2006,98.92258567788801,53,26
Spiny Dogfish,SS,F,2007,101.31789834171948,12,26
Spiny Dogfish,SS,F,2008,101.5537563792623,25,26
Spiny Dogfish,SS,F,2009,104.65077017157151,7,26
Spiny Dogfish,SS,F,2010,95.5739034646319,8,26
Spiny Dogfish,SS,F,2012,99.43214066981803,8,26
Spiny Dogfish,SS,F,2013,102.16450031228575,8,26
Spiny Dogfish,SS,F,2014,102.51020722611234,7,26
Spiny Dogfish,SS,F,2015,103.4612300982453,7,26
Spiny Dogfish,SS,F,2016,101.53642398738131,26,26
